[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.054s parse=0.059s build=0.189s
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.082ms frontier=  0.009ms semisort=  0.097ms (keyed= 0.001ms group_by=  0.030ms per_group= 0.029ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.069ms frontier=  0.007ms semisort=  0.114ms (keyed= 0.001ms group_by=  0.028ms per_group= 0.031ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.049ms frontier=  0.006ms semisort=  0.102ms (keyed= 0.001ms group_by=  0.033ms per_group= 0.023ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.042ms frontier=  0.005ms semisort=  0.065ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.026ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.025ms frontier=  0.003ms semisort=  0.035ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.016ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.034ms frontier=  0.031ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.028ms frontier=  0.002ms semisort=  0.055ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.027ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.046ms frontier=  0.004ms semisort=  0.065ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.023ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.043ms frontier=  0.005ms semisort=  0.047ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.027ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.031ms frontier=  0.004ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.012ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.039ms frontier=  0.004ms semisort=  0.119ms (keyed= 0.001ms group_by=  0.040ms per_group= 0.050ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.033ms frontier=  0.003ms semisort=  0.044ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.005ms)
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate= 48.840ms frontier=  9.896ms semisort= 18.503ms (keyed= 5.357ms group_by=  0.427ms per_group= 5.384ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.776ms frontier=  0.242ms semisort=  3.423ms (keyed= 0.063ms group_by=  2.521ms per_group= 0.400ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.722ms frontier=  0.213ms semisort=  3.138ms (keyed= 0.059ms group_by=  2.454ms per_group= 0.267ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.541ms frontier=  0.228ms semisort=  1.959ms (keyed= 0.047ms group_by=  1.317ms per_group= 0.308ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.318ms frontier=  0.204ms semisort=  0.895ms (keyed= 0.038ms group_by=  0.487ms per_group= 0.177ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.618ms frontier=  0.128ms semisort=  1.470ms (keyed= 0.025ms group_by=  1.155ms per_group= 0.158ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.308ms frontier=  0.063ms semisort=  0.788ms (keyed= 0.017ms group_by=  0.557ms per_group= 0.075ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.151ms frontier=  0.041ms semisort=  0.317ms (keyed= 0.004ms group_by=  0.175ms per_group= 0.049ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.101ms frontier=  0.015ms semisort=  0.240ms (keyed= 0.006ms group_by=  0.088ms per_group= 0.051ms)
